Party Number,Party Name,Profile Link,Image Link
No. 1,Partai Kebangkitan Bangsa (PKB),./partaiprofil/partai-kebangkitan-bangsa,https://framerusercontent.com/images/CpnFpNERCoYxrQHPG2EOwRj14UQ.webp
No. 2,Partai Gerakan Indonesia Raya (Gerindra),./partaiprofil/partai-gerakan-indonesia-raya,https://framerusercontent.com/images/0VJkRIZP0EaGTEGhqzkJ3IAback.webp
No. 3,Partai Demokrasi Indonesia Perjuangan (PDI-P),./partaiprofil/partai-demokrasi-indonesia-perjuangan-(pdi-p),https://framerusercontent.com/images/0V0IduzBnP5bTqJRMCkflIobiE.webp
No. 4,Partai Golongan Karya (Golkar),./partaiprofil/partai-golongan-karya-(golkar),https://framerusercontent.com/images/RfU29vvdx95uC5rwdjOhZ8dygAg.webp
No. 5,Partai Nasional Demokrat (NasDem),./partaiprofil/partai-nasdem,https://framerusercontent.com/images/8t5uRJOzcZFxgdabguA4KaLLs.webp
No. 6,Partai Buruh,./partaiprofil/partai-buruh,https://framerusercontent.com/images/Hj5NhBlq4BHjDxLn8rTr9PVQYA.webp
No. 7,Partai Gelombang Rakyat Indonesia (Gelora),./partaiprofil/partai-gelombang-rakyat-indonesia,https://framerusercontent.com/images/Zb6vPN6SpdVapHb7wlfd0bL0LI.webp
No. 8,Partai Keadilan Sejahtera (PKS),./partaiprofil/partai-keadilan-sejahtera-(pks),https://framerusercontent.com/images/BCHPVMXyRggHoDSQzWIWea8P0k.webp
No. 9,Partai Kebangkitan Nusantara (PKN),./partaiprofil/partai-kebangkitan-nusantara-(pkn),https://framerusercontent.com/images/Z3rLnjy3K5v0GHFQjZ9uyw2l3E.webp
No. 10,Partai Hati Nurani Rakyat (Hanura),./partaiprofil/partai-hati-nurani-rakyat,https://framerusercontent.com/images/Y2rSg1mqzpxTyDaZ2lYHMkiHy0.webp
No. 11,Partai Garda Perubahan Indonesia (Garuda),./partaiprofil/partai-garda-perubahan-indonesia-(garuda),https://framerusercontent.com/images/9Zn4InhKKkCFL5QYIIcezcPks.webp
No. 12,Partai Amanat Nasional (PAN),./partaiprofil/partai-amanat-nasional-(pan),https://framerusercontent.com/images/EmDy9jrnB1xIPV6QIudL3QIhB6U.webp
No. 13,Partai Bulan Bintang (PBB),./partaiprofil/partai-bulan-bintang-(pbb),https://framerusercontent.com/images/qLeG8m6ZCPs0jV9QVfUwSbn24k.webp
No. 14,Partai Demokrat,./partaiprofil/partai-demokrat,https://framerusercontent.com/images/fOdt7cbt9PSjcnJnVVZWxYqzMPc.webp
No. 15,Partai Solidaritas Indonesia (PSI),./partaiprofil/partai-solidaritas-indonesia-(psi),https://framerusercontent.com/images/Arp0ycWeSZOAAbljKbNqW0Mn3s.webp
No. 16,Partai Perindo,./partaiprofil/partai-perindo,https://framerusercontent.com/images/9YDy7u43ge6mYNZTrSlh9RzTzQ.webp
No. 17,Partai Persatuan Pembangunan (PPP),./partaiprofil/partai-persatuan-pembangunan-(ppp),https://framerusercontent.com/images/9kbqj2KUOF8QjxqJsfHFbjgvto.webp
No. 24,Partai Ummat (PU),./partaiprofil/partai-ummat-(pu),https://framerusercontent.com/images/FT3Vh1YHwzV5DzAZl0kM3HQtXNI.webp
No. 18,Partai Nanggroe Aceh (PNA),,https://framerusercontent.com/images/1tp1X1jyCO84Lmrh8UcU1SVv11U.webp
No. 19,Partai Generasi Atjeh Beusaboh Tha'at Dan Taqwa (Gabthat),,https://framerusercontent.com/images/gSVQbjWlHHUBAeMbjqI8LvCZMY.webp
No. 20,Partai Darul Aceh (PDA),,https://framerusercontent.com/images/yNMqggRKcu9wNZ1n3g02XfmZ1co.webp
No. 21,Partai Aceh (PA),,https://framerusercontent.com/images/zeIdnhkXcNXV36I6ZZ5K1MLRBqo.webp
No. 22,Partai Adil Sejahtera Aceh (PASA),,https://framerusercontent.com/images/wPikGH5cdjkRyrPgIM21I6C8OEc.webp
No. 23,Partai Soliditas Independen Rakyat Aceh (PSIRA),,https://framerusercontent.com/images/ENaqVLjlgtwIlw4CB11doBw9ac.webp
